State Name,County Name,Date Local,Local Site Name,Arithmetic Mean_ozone,1st Max Value_ozone,1st Max Hour_ozone,Arithmetic Mean_so2,1st Max Value_so2,1st Max Hour_so2,Arithmetic Mean_co,1st Max Value_co,1st Max Hour_co,Arithmetic Mean_no2,1st Max Value_no2,1st Max Hour_no2
Arizona,Maricopa,2024-03-03,CENTRAL PHOENIX,0.033235,0.044,13,0.083333,1.0,8,0.033333,0.1,6,7.0,17.0,8
Arizona,Maricopa,2024-03-03,JLG SUPERSITE,0.033,0.04,11,0.466667,1.0,16,0.2,0.2,0,6.65,15.1,7
Arizona,Maricopa,2024-03-04,CENTRAL PHOENIX,0.025941,0.044,12,0.0,0.0,0,0.15,0.3,23,17.958333,38.0,22
Arizona,Maricopa,2024-03-04,JLG SUPERSITE,0.023647,0.042,11,0.581818,1.5,6,0.266667,0.4,23,14.083333,36.2,22
Arizona,Maricopa,2024-03-05,JLG SUPERSITE,0.026941,0.047,11,0.579167,1.1,6,0.379167,0.5,1,19.804545,37.6,22
Arizona,Maricopa,2024-03-06,JLG SUPERSITE,0.031353,0.042,11,0.858333,4.4,22,0.329167,0.5,0,13.591667,29.5,1
Arizona,Maricopa,2024-03-07,JLG SUPERSITE,0.027706,0.032,10,0.591667,1.3,17,0.225,0.3,0,7.716667,12.0,1
Arizona,Maricopa,2024-03-08,JLG SUPERSITE,0.030176,0.042,11,0.4875,1.3,17,0.266667,0.4,8,10.179167,26.4,7
Arizona,Maricopa,2024-03-09,JLG SUPERSITE,0.028059,0.04,10,0.325,0.5,1,0.233333,0.3,0,7.645833,21.4,19
Arizona,Maricopa,2024-03-10,JLG SUPERSITE,0.024353,0.047,11,0.420833,1.0,7,0.325,0.5,22,15.883333,39.7,21
Arizona,Maricopa,2024-03-11,JLG SUPERSITE,0.024,0.042,13,0.536842,1.3,11,0.345833,0.6,0,16.5625,36.7,23
Arizona,Maricopa,2024-03-12,JLG SUPERSITE,0.031529,0.047,11,0.395833,0.9,22,0.295833,0.4,0,16.011765,33.0,23
Arizona,Maricopa,2024-03-13,JLG SUPERSITE,0.037471,0.047,12,0.504167,1.0,6,0.275,0.4,0,9.320833,30.0,0
Arizona,Maricopa,2024-03-14,JLG SUPERSITE,0.037176,0.045,13,0.429167,1.6,2,0.288889,0.5,8,12.0375,32.5,9
Arizona,Maricopa,2024-03-15,JLG SUPERSITE,0.032533,0.035,8,0.3375,1.6,9,0.220833,0.3,6,7.891667,16.4,7
Arizona,Maricopa,2024-03-16,JLG SUPERSITE,0.035533,0.044,10,0.277273,0.6,7,0.241667,0.3,7,8.845455,20.3,7
Arizona,Maricopa,2024-03-17,JLG SUPERSITE,0.031,0.046,11,0.361905,1.4,9,0.220833,0.3,0,5.663636,12.7,23
Arizona,Maricopa,2024-03-18,JLG SUPERSITE,0.037824,0.048,13,0.308696,0.8,16,0.3125,0.5,7,9.816667,23.0,6
Arizona,Maricopa,2024-03-19,CENTRAL PHOENIX,0.034467,0.052,12,0.130435,1.0,6,0.145833,0.3,8,15.714286,36.0,8
Arizona,Maricopa,2024-03-19,JLG SUPERSITE,0.039294,0.052,11,0.279167,1.4,7,0.304167,0.5,8,12.004348,30.1,6
Arizona,Maricopa,2024-03-20,CENTRAL PHOENIX,0.037706,0.054,12,0.041667,1.0,7,0.1625,0.3,5,15.25,28.0,2
Arizona,Maricopa,2024-03-20,JLG SUPERSITE,0.037353,0.054,12,0.491667,1.8,8,0.3,0.5,9,11.166667,28.3,8
Arizona,Maricopa,2024-03-21,CENTRAL PHOENIX,0.034647,0.058,11,0.0,0.0,0,0.1,0.2,3,16.083333,37.0,23
Arizona,Maricopa,2024-03-21,JLG SUPERSITE,0.031235,0.056,11,0.3375,1.6,19,0.291667,0.5,23,14.975,41.3,21
Arizona,Maricopa,2024-03-22,CENTRAL PHOENIX,0.037059,0.057,11,0.083333,1.0,10,0.1875,0.4,23,19.0,45.0,23
Arizona,Maricopa,2024-03-22,JLG SUPERSITE,0.033059,0.058,11,0.595833,1.5,8,0.370833,0.6,1,16.375,40.9,21
Arizona,Maricopa,2024-03-23,CENTRAL PHOENIX,0.043706,0.051,12,0.083333,1.0,10,0.125,0.4,0,8.416667,26.0,0
